state,tagged_day_zero,train_error,test_error,suggested_test_size
Alabama,103,2.28477538421519,1.8735201668435635,0.3200000000000002
Alaska,61,0.33489205995913546,0.3316825198850407,0.18000000000000002
American Samoa,-1,-1,-1,-1
Arizona,117,3.9534118257746393,3.941131105726585,0.6300000000000004
Arkansas,131,11.311057767584176,11.362935166644768,0.5000000000000003
California,177,11.11522034440178,11.343143297364788,0.21000000000000005
Colorado,153,4.1243779531151,4.162337873225995,0.15
Connecticut,132,5.130826066792765,5.153227150868626,0.20000000000000004
Delaware,116,0.972836651605414,0.9777666614405585,0.41000000000000025
Diamond Princess,15,0.004642856807884678,0.0049848754101132434,0.4500000000000003
District of Columbia,104,0.8896979807787047,0.8959194268605862,0.6000000000000004
Florida,108,6.045974162633043,6.04205982423383,0.31000000000000016
Georgia,109,3.8297418870855324,3.964520123445749,0.5800000000000004
Grand Princess,3761,1.1974435072170986,1.1950907622926028,0.3300000000000002
Guam,39,0.06986534232902208,0.06995761342090413,0.3600000000000002
Hawaii,64,0.24705295026451907,0.2518388927736005,0.6400000000000005
Idaho,68,0.7188264840148028,0.7279670470268319,0.28000000000000014
Illinois,148,10.368782161992334,10.226135157924158,0.6800000000000005
Indiana,105,3.8619418455212187,3.923772213272588,0.5900000000000004
Iowa,176,1.592240909793464,1.581141460832838,0.21000000000000005
Kansas,173,2.068078244538961,2.137967067400439,0.5300000000000004
Kentucky,112,1.488198621067174,1.502692487044251,0.4800000000000003
Louisiana,82,2.1247918685971463,2.183769254691955,0.40000000000000024
Maine,93,0.5385471079366227,0.5420027624162098,0.39000000000000024
Maryland,132,3.945633248245634,3.9183365922697266,0.2500000000000001
Massachusetts,151,5.548626551133735,5.44716340317683,0.5600000000000004
Michigan,113,10.1344497214938,10.106811038756828,0.17
Minnesota,564,2.0358447917998013,2.00492625201655,0.20000000000000004
Mississippi,122,3.0283664568483872,2.721618579251969,0.2500000000000001
Missouri,97,3.710618943612296,3.6917005261590354,0.3400000000000002
Montana,50,0.24169428931576112,0.24888307491136347,0.4900000000000003
Nebraska,173,0.49080136260430574,0.4834600121529148,0.22000000000000006
Nevada,116,2.6083547982915114,2.6116446279311027,0.40000000000000024
New Hampshire,120,0.7719848697047905,0.8296899373175526,0.15
New Jersey,124,18.540860972826312,18.140035083694613,0.22000000000000006
New Mexico,124,1.230256650176322,1.2342867603151702,0.5800000000000004
New York,131,32.30892633420524,30.902661087452294,0.17
North Carolina,135,3.4741044755297645,3.4688188039535346,0.3400000000000002
North Dakota,142,0.2751196876431386,0.2725284530285408,0.19000000000000003
Northern Mariana Islands,18,0.04587900465910128,0.044632709086644864,0.5400000000000004
Ohio,123,3.578403822808846,3.639091691531931,0.2600000000000001
Oklahoma,103,2.1952663963369115,2.199132231789189,0.5300000000000004
Oregon,99,0.8412820785398173,0.8590552650180782,0.31000000000000016
Pennsylvania,128,6.689007825524324,7.196060980088771,0.21000000000000005
Puerto Rico,73,0.5587916776923675,0.5577001333138657,0.2500000000000001
Rhode Island,108,0.5714320411727065,0.5606440998391232,0.6100000000000004
South Carolina,110,5.271075689578529,5.17785837824138,0.3800000000000002
South Dakota,84,0.08785607579966206,0.0873336632306158,0.6800000000000005
Tennessee,156,5.764124915644452,5.778720358198966,0.31000000000000016
Texas,132,5.593811890008532,5.6402832015008535,0.4600000000000003
Utah,127,2.9832433640552747,3.0303227975326745,0.18000000000000002
Vermont,64,0.378168473727647,0.3958764983052033,0.5400000000000004
Virgin Islands,43,0.06024665950187123,0.06140479083968478,0.20000000000000004
Virginia,127,1.965292610446026,1.8445217913542893,0.6600000000000005
Washington,108,2.0636826912082133,2.171457191962118,0.5500000000000004
West Virginia,89,0.7622179156246613,0.7764985449021915,0.3600000000000002
Wisconsin,150,3.6283805940590366,3.5946305085843098,0.29000000000000015
Wyoming,104,0.5345338692218469,0.5343118173984671,0.5600000000000004
