state,tagged_day_zero,train_error,test_error,suggested_test_size,a,b,c
Alabama,519,8.16024958718765,3.648379043205077,0.17,26.906486686142067,137.9027849879083,165723.11604637204
Alaska,446,0.34586066755417527,0.4762559647712356,0.24000000000000007,26.735494761883633,155.3349754906179,9085.17116456751
American Samoa,-1,-1,-1,-1,-1,-1,-1
Arizona,327,1.9227528850764726,2.0383703178706973,0.43000000000000027,16.42724136698461,116.74446289858209,212552.58667938792
Arkansas,471,4.99662411230971,1.3908708115298076,0.2600000000000001,28.83952977416559,139.56457802233436,87800.87605219903
California,545,17.439509099571545,72.89671812254768,0.4700000000000003,27.315237641413088,151.1192408730325,898421.4740057675
Colorado,672,15.722158688869943,49.00182813131106,0.4400000000000003,43.28988459836257,120.14442833230797,73930.21391697318
Connecticut,5,18.624772837264388,416.8966853451312,0.6100000000000004,0.49248832914044083,-0.5976789421280603,41575.36364432846
Delaware,544,11.563577405090022,7.782913768785426,0.40000000000000024,34.997461789366454,90.73356458830352,19640.046036259748
Diamond Princess,12,8.174356282527661e-14,0.006700389970942586,0.6200000000000004,2.0544218221811175,-53.60280584510512,49.000000000000625
District of Columbia,387,9.857016605356298,1.8607288799683313,0.5200000000000004,28.964651872210037,69.96798491751781,14042.239692901436
Florida,402,3.3776619693761,5.416799552008814,0.6700000000000005,18.640280654004975,133.77172462003784,700809.3854269293
Georgia,584,20.425252517532105,3.471819310314792,0.2500000000000001,29.62630789050764,144.7502815661441,366937.1320439684
Grand Princess,21,0.1661961595893974,0.2991355920570267,0.3400000000000002,1.9735052393891366,9.950829527533635,103.26236066323045
Guam,1177,0.5073343220103406,0.4848758293591973,0.3800000000000002,34.501780633364866,548.2998881636046,78302554.94205838
Hawaii,320,0.6852231096989544,0.6740740370868632,0.3500000000000002,16.320713183910687,161.03401111028518,13914.799841821077
Idaho,410,0.41889493244043213,0.5125131115307124,0.4600000000000003,21.655924465364485,136.92016172060355,41413.13678567867
Illinois,711,148.74023200570358,1.5397301231362674,10,43.87575139223591,118.80790775566481,307137.4156819959
Indiana,877,52.88520846951849,133.03823868321257,0.3500000000000002,51.84751150356305,164.74580331116178,172324.1828546971
Iowa,732,43.61407200155171,37.019696456152225,0.5000000000000003,46.81465712870646,170.80310896614736,127018.78930598228
Kansas,534,164.53913719472223,184.42524070331058,0.40000000000000024,-4.820127440342386,582.4332380616828,19377.957295693428
Kentucky,717,14.185514361295764,12.45410813601008,0.3300000000000002,41.497495640918736,182.54060810871957,110729.28054370696
Louisiana,624,13.417720025027274,36.312184671232174,0.6200000000000004,39.292865280463595,136.8754302697181,206614.83969460998
Maine,367,2.132588955515563,0.14359989964801714,0.18000000000000002,32.80717391763513,86.78894649754149,4956.961865216374
Maryland,504,34.543421297604496,58.113326064030964,0.5900000000000004,32.96646393435892,99.5707331352657,119127.54769147828
Massachusetts,236,20.24563058337378,20.434630319068333,0.21000000000000005,15.48488186203366,55.09674279120574,113925.93010255249
Michigan,814,50.026735012988674,93.77226401372512,0.4400000000000003,54.47840699818725,111.4869830592001,150223.37307066342
Minnesota,606,23.02591285657954,22.177154811543804,0.27000000000000013,38.815566775998406,139.6448192708112,110322.65615784598
Mississippi,506,10.238246422861879,0.3243898968518754,0.21000000000000005,30.262221846806057,137.37351423494937,111736.56343478285
Missouri,722,10.93023500625099,11.859011771014043,0.6600000000000005,38.424284912939264,187.80114335974824,229321.20838863758
Montana,419,0.3950676713305468,0.4741330216780103,0.31000000000000016,26.285608560744425,165.76067891805405,15060.9694790299
Nebraska,618,17.318089061269927,29.936311703228448,0.4800000000000003,42.18122547122158,132.37809587492742,49528.494671323846
Nevada,404,1.6222334830545984,1.9833594982730152,0.2600000000000001,23.220160436443596,135.4012130634652,83301.774074293
New Hampshire,305,3.223334920831632,0.4684258634625532,0.2500000000000001,24.617865759115958,67.94038334683235,7312.468194626012
New Jersey,230,58.75175700794011,34.8441274504027,0.16,14.616017574186355,45.90241911251092,182383.5974458931
New Mexico,601,9.650606074051474,5.574130696234057,0.30000000000000016,33.04775751980574,119.66459740386307,30884.014208477183
New York,234,95.91102821743158,34.14602778568297,0.43000000000000027,13.39958689388775,44.47953948913939,412427.2839815877
North Carolina,505,18.116309212469137,16.888535174992192,0.5500000000000004,29.531276374940436,136.62096532807968,220075.83167451847
North Dakota,1945,2.6461295964166416,4.0325511529672315,0.5700000000000004,51.376515957836574,800.5235263889818,2761100549.582052
Northern Mariana Islands,551,0.06718799135230273,0.07051933212417658,0.29000000000000015,71.74429574545599,167.3116997893041,132.6243512889236
Ohio,659,39.128129370430926,37.5058034501914,0.17,40.922746534217396,146.6464825935487,191301.6873082437
Oklahoma,618,3.4269467577474524,4.1847438595853905,0.4900000000000003,30.649196803434712,161.89378131971506,109606.03663630331
Oregon,477,3.2708758176701695,3.6630604779522282,0.23000000000000007,30.696206912781438,148.4729736895766,37419.83039320049
Pennsylvania,577,84.16100953731478,135.51505488614694,0.4600000000000003,39.066023992570805,96.6419049634297,158850.72373808318
Puerto Rico,495,2.068357861664331,2.525431075699042,0.5400000000000004,29.89858317190723,158.07366535496274,58136.73534163447
Rhode Island,315,16.752736805436292,13.98179177365299,0.3800000000000002,24.846249204661348,65.0307836320214,21467.913621249936
South Carolina,453,2.7916896367631754,3.4767213568725066,0.5000000000000003,23.385335964182527,133.66930978137307,147568.16715124014
South Dakota,2370,25.87647768885282,7.518025618294335,0.3800000000000002,73.65192235974752,905.2550334800344,309933155.70647997
Tennessee,522,11.588359531581794,7.674525933418401,0.5700000000000004,29.344361844124354,146.53163954533986,220344.60364363476
Texas,505,14.370740631585253,15.370988071530908,0.6200000000000004,22.018679049646636,140.93326382975232,765110.0491734388
Utah,509,5.247947284604522,7.793438226716548,0.3500000000000002,32.35059010128965,135.98143020805858,74107.72655588864
Vermont,390,3.857308873198226,3.5201112372860934,0.39000000000000024,43.92572148099922,62.88173532826456,1738.9907467001826
Virgin Islands,269,0.5710347445227996,0.6491166395315376,0.43000000000000027,16.494405180301335,143.3007309613202,1426.6859781331482
Virginia,680,53.01383776674982,37.47164016573702,0.31000000000000016,41.09170362553359,133.527502428089,169044.2787567962
Washington,641,20.33741380253995,25.643870641668663,0.6600000000000005,41.86026279298437,150.9980273373685,107304.88363768613
West Virginia,635,2.692337455865025,4.594720846274177,0.3300000000000002,42.958038181683634,191.44334456808798,30546.989365673686
Wisconsin,729,10.128360177114743,20.538656370584484,0.4600000000000003,43.406328024146404,180.4285936704319,176578.57038942442
Wyoming,617,2.1076450286607087,1.6364291462174985,0.3400000000000002,45.507935929557554,175.39567100103918,8571.52168172262
