,gdp,deaths
0,5268.85,112.08713984539705
1,3432.39,3.8948393378773125
2,24050.76,127.46972594008923
3,901.54,3.4812880765883376
4,8258.64,3.992901508429459
5,715.12,2.8354430379746836
6,1325.95,0.14894805436603983
7,1533.74,16.45519429024584
8,475.72,13.287612516073724
9,728.34,5.103359173126615
10,2147.77,19.450800915331808
11,561.78,3.0926608778398954
12,1715.53,4.746709214200239
13,14909.69,49.31305201177626
14,8821.82,8.994708994708995
15,28159.3,18.803418803418804
16,23078.57,41.032863849765256
17,10261.76,63.40718105423988
18,23266.35,48.192771084337345
19,4145.97,82.74647887323944
20,50152.34,60.891627401232334
21,7952.53,25.011798017932986
22,716.12,43.42105263157895
23,4717.14,1.7890772128060266
24,2202.31,9.50621430970776
25,20324.25,26.958955223880597
26,878.6,4.99597099113618
27,777.97,20.277481323372463
28,868.34,19.244604316546763
29,5354.24,11.584327086882453
30,4241.79,1.7075130574527924
31,31362.75,6.603408210689388
32,4302.28,264.49864498644985
33,17860.62,18.229166666666668
34,8269.79,29.20134326179004
35,677.32,17.01597841875908
36,7241.7,44.31801167839497
37,19153.41,30.780243378668576
38,527.5,7.692307692307692
39,389.4,9.70231532524807
40,11373.23,4.059625753250872
41,899.66,6.656184486373166
42,1188.83,36.33885986827163
43,11238.69,7.905138339920949
44,498.96,0.9152542372881356
45,5931.45,37.173202614379086
46,1033.91,10.67995728017088
47,41945.33,4.911993450675399
48,2028.89,21.80637179090628
49,413.98,3.0748663101604277
50,81697.25,49.18032786885246
51,2730.27,0.5809900069718801
52,5821.81,64.54859114433582
53,68793.78,73.68799424874192
54,772.94,1.5447154471544715
55,1521.95,18.3596214511041
56,533.99,9.281045751633986
57,64581.94,4.788082993438553
58,19442.71,6.7889908256880735
59,26123.97,64.87265737626142
60,314.54,6.4623584277148565
61,1119.65,4.371584699453551
62,4102.48,0.5537609598523303
63,2032.62,8.101714961561207
64,826.62,7.6914624766509165
65,1050.68,0.3728693181818182
66,7273.56,0.8353737577416102
67,679.26,4.183039675497528
68,17129.91,26.618705035971225
69,3447.51,8.124459809853068
70,642.78,1.0299625468164795
71,43004.95,40.494237358529745
72,17277.97,13.04726007538417
73,1532.37,10.679611650485437
74,16054.49,15.102182196051263
75,2566.6,0.3663387063010257
76,3198.87,40.271394178157145
77,1539.9,17.0028818443804
78,2147.0,14.542936288088644
