state,tagged_day_zero,train_error,test_error,suggested_test_size
Alabama,113,2.657448136469403,2.3443862588310735,0.15
Alaska,57,0.3301175792858537,0.3288013231219141,0.5800000000000004
American Samoa,-1,-1,-1,-1
Arizona,165,7.152605209638017,7.174507422071785,0.39000000000000024
Arkansas,123,9.851384119865395,9.849844928282481,0.2500000000000001
California,172,10.388719821328138,10.498060351710294,0.5300000000000004
Colorado,124,2.1730567387761175,2.137816209918275,0.6900000000000005
Connecticut,118,4.584862013097764,4.498204709299999,0.41000000000000025
Delaware,108,0.8941922826090036,0.9013248829606687,0.4700000000000003
Diamond Princess,13,0.004313876399980519,0.004303918705789437,0.27000000000000013
District of Columbia,121,1.2067079044051092,1.2315419272463242,0.5200000000000004
Florida,131,7.795201665199861,7.9094817091162595,0.5100000000000003
Georgia,127,6.217055166912321,6.139014630884503,0.3600000000000002
Grand Princess,34,0.3166453392998431,0.3096110747761171,0.5300000000000004
Guam,69,0.06881507045913642,0.06369809322226255,0.16
Hawaii,62,0.2733444850473773,0.2803412826287575,0.29000000000000015
Idaho,86,0.5676976314536533,0.5666816910602974,0.5100000000000003
Illinois,172,13.162507173289443,13.386578298052372,0.27000000000000013
Indiana,140,9.788912088260954,9.846702835441024,0.19000000000000003
Iowa,173,1.4685172606875267,1.4673732312743393,0.3800000000000002
Kansas,196,2.061537964919137,2.0928932693042372,0.41000000000000025
Kentucky,121,1.7377999030210414,1.745973669395636,0.4800000000000003
Louisiana,85,2.3835831489759918,2.362839656484046,0.40000000000000024
Maine,111,0.6227833482689926,0.501710390736506,0.27000000000000013
Maryland,144,5.175978521967616,5.4211565368517665,0.3800000000000002
Massachusetts,129,3.755524651896747,3.754650351276927,0.6600000000000005
Michigan,110,11.848743229811788,12.206965058199149,0.15
Minnesota,20,1.0989641571664281,1.121217834184383,0.6400000000000005
Mississippi,135,3.6275506533687696,3.241280179888546,0.3700000000000002
Missouri,114,3.7824346123848804,3.751504742408192,0.5800000000000004
Montana,47,0.2612217483905347,0.2601812976036603,0.5200000000000004
Nebraska,155,0.36314975808362,0.36187967667398985,0.27000000000000013
Nevada,105,2.349683853474653,2.4714579386489874,0.4400000000000003
New Hampshire,134,0.9681381699804402,0.9805802388450344,0.15
New Jersey,18,1.486422325292637,1.7969875180101043,0.5400000000000004
New Mexico,156,1.4928720002847866,1.4947466840144703,0.5800000000000004
New York,133,34.87602994166953,33.188894866767775,0.6300000000000004
North Carolina,146,4.267446491114834,4.4176762904781,0.29000000000000015
North Dakota,139,0.24566061879461462,0.2448888928407929,0.5700000000000004
Northern Mariana Islands,20,0.04075255045116618,0.043983653940072705,0.4900000000000003
Ohio,127,3.821752712310715,3.477587065545185,0.3200000000000002
Oklahoma,109,2.3215656935442928,2.3464225966050707,0.18000000000000002
Oregon,123,1.4871665380961354,1.4868551405882584,0.3200000000000002
Pennsylvania,150,9.315439436096138,9.247361788005676,0.24000000000000007
Puerto Rico,87,1.1573618226438125,1.1751314587477537,0.21000000000000005
Rhode Island,107,0.7491813919372079,0.7498456325082647,0.2600000000000001
South Carolina,137,5.371125463366286,5.33808869265682,0.5600000000000004
South Dakota,79,0.08144718197399896,0.08724747623012481,0.5200000000000004
Tennessee,187,7.0722162400299835,7.0340653828276976,0.2500000000000001
Texas,151,7.1517576612311275,7.207513533890086,0.6600000000000005
Utah,127,2.9540003589564425,2.9814887565173374,0.3300000000000002
Vermont,53,0.29551498767706325,0.28227056505175185,0.6100000000000004
Virgin Islands,46,0.07816770752636934,0.07740128113874577,0.30000000000000016
Virginia,154,2.8224412715270013,3.3140134986319,0.5700000000000004
Washington,114,2.906886948281614,2.815304067304059,0.40000000000000024
West Virginia,84,0.642608961582024,0.6749584311838125,0.6800000000000005
Wisconsin,140,2.9807253908294324,3.08716675312177,0.6300000000000004
Wyoming,104,0.41752455495482843,0.4204274409997042,0.5000000000000003
