country,tagged_day_zero,train_error,test_error,suggested_test_size,a,b,c
Afghanistan,249,1.1636622395213558,1.4586784969212194,0.6700000000000005,15.08201595328166,83.76540138185197,38715.645865782986
Albania,646,1.0814023152778423,0.33132252104364124,0.22000000000000006,41.851439066398534,207.3461320902835,29932.82872452392
Algeria,521,2.0300477101799994,4.669726267366305,0.5000000000000003,31.968269577007305,141.51398251602419,59614.4077729542
Andorra,2487,0.44404329290192934,0.4993385867545467,0.4600000000000003,64.61485243251995,1015.5274512353047,754384521.0970119
Angola,670,1.2125536369268473,1.1103556653760178,0.6300000000000004,37.55536949981489,244.0552007409905,46335.54713433391
Antigua and Barbuda,11738,1.0432155966216965,1.1188667439186013,0.41000000000000025,-333.55422519753995,13337.993859637032,67.55462184873215
Argentina,697,8.571593616971926,11.277787410341512,0.30000000000000016,31.413738044497688,206.2959565720224,1636469.26181884
Armenia,703,7.328751872316245,8.869189054797811,0.16,42.383760318896314,147.7242985181034,75181.15238800741
Australia,625,5.818682604053746,6.115037864312171,0.6100000000000004,44.75304506927129,150.80538989584724,33246.83044410897
Austria,3264,19.090901812265837,16.745183006367547,0.4800000000000003,83.99264573609521,1257.785075687469,12720519284.53566
Azerbaijan,407,2.243423302518973,2.5484188778917014,0.19000000000000003,25.047870257621373,119.75375683494964,43849.45448998821
Bahamas,430,0.7330176769704636,0.7550277736224646,0.3800000000000002,25.78025400686362,184.96357119191154,8801.63304291857
Bahrain,623,7.6931568356427285,6.812931303582461,0.5700000000000004,37.76287677656727,163.8818179447829,86659.44346808533
Bangladesh,502,39.75845534016071,40.047756514429516,0.40000000000000024,27.943128897791468,122.12199664960855,394970.4752807685
Barbados,-3007391849,0.7541113679619935,0.5576907692219143,0.40000000000000024,-425848119.53801787,27089929.428584363,240.19299359861282
Belarus,321,12.744398680984498,11.819216405028495,0.3800000000000002,20.433256350314533,78.67596852690598,76891.53901000098
Belgium,2736,26.820806052634683,2.538176792144282,0.16,68.15322069537184,1056.8873651429974,40792303818.8039
Belize,292,1.2318003087211657,1.6056260332127366,0.15,20.731161375864918,103.81322293473235,3801.426327647669
Benin,279,0.27352576126891637,0.27911697695919707,0.5200000000000004,21.27816760850815,94.57217314161531,2423.404387176621
Bhutan,394,0.1506428246008149,0.14548507060690732,0.40000000000000024,42.687666609012986,125.94125578108401,486.89966350870793
Bolivia,415,3.405007366356205,2.739677592303454,0.41000000000000025,22.629852180559162,128.38603068131695,142847.44912846756
