state,tagged_day_zero,train_error,test_error,suggested_test_size
Alabama,103,2.199849072424174,1.6742258651666773,0.28000000000000014
Alaska,52,0.2887806621055564,0.28917887411483256,0.6200000000000004
American Samoa,-1,-1,-1,-1
Arizona,113,4.37784628641583,4.3826431228504426,0.21000000000000005
Arkansas,136,12.181828102755903,12.131943786385428,0.5200000000000004
California,46,0.858056794979318,0.8148620422644574,0.4700000000000003
Colorado,147,4.405619023127919,4.228936543244491,0.20000000000000004
Connecticut,118,4.4124652463233485,4.12968352818217,0.43000000000000027
Delaware,113,0.9556682694802793,0.964425998276001,0.3300000000000002
Diamond Princess,14,0.005093795680657571,0.00511155461204781,0.6800000000000005
District of Columbia,103,0.9198481717850148,0.9202163760941289,0.5900000000000004
Florida,100,5.114679677339183,5.115008067507409,0.6400000000000005
Georgia,121,5.113015434751413,5.143083980726688,0.28000000000000014
Grand Princess,22,0.41343207427181594,0.4335688194692749,0.6300000000000004
Guam,59,0.06802777297263903,0.07307148742807058,0.5700000000000004
Hawaii,60,0.248974767943154,0.25547791353298777,0.2600000000000001
Idaho,90,0.6844190925678643,0.6846754389272534,0.5100000000000003
Illinois,148,11.418276734806245,10.548283222495069,0.16
Indiana,126,7.282153677523382,7.243405576980985,0.6300000000000004
Iowa,160,1.541579016994963,1.5344775616575372,0.18000000000000002
Kansas,224,2.8086628849961515,2.826771144260508,0.42000000000000026
Kentucky,124,1.5564383049849098,1.548901477925409,0.41000000000000025
Louisiana,75,1.4230299369218258,1.3994720048627598,0.3700000000000002
Maine,84,0.48422884382446174,0.47686155334505703,0.22000000000000006
Maryland,141,3.8473184457180105,3.8647877136457542,0.17
Massachusetts,142,6.177606696756672,5.968751890624939,0.5400000000000004
Michigan,107,8.93450200534589,8.72933875846695,0.4900000000000003
Minnesota,178,1.9133342002444225,1.9131925599816864,0.4600000000000003
Mississippi,111,2.6752358378420107,2.523317450405496,0.6900000000000005
Missouri,95,3.3212402595512445,3.298113997689425,0.6900000000000005
Montana,47,0.36393972369986294,0.3404137482311653,0.43000000000000027
Nebraska,141,0.17420135996805783,0.1703190699323677,0.6500000000000005
Nevada,104,2.6060584912116944,2.6797836036322473,0.21000000000000005
New Hampshire,110,0.7000221651373684,0.6648971281542905,0.3500000000000002
New Jersey,130,18.495336915085765,18.635297515017896,0.28000000000000014
New Mexico,136,1.2244834903526203,1.2281435909340548,0.22000000000000006
New York,126,21.33199042285915,21.29812568911325,0.6700000000000005
North Carolina,135,3.7289028668789266,3.838742261305753,0.19000000000000003
North Dakota,143,0.27237536678356555,0.27191814905896194,0.42000000000000026
Northern Mariana Islands,18,0.044202866025433836,0.042808792417047666,0.4700000000000003
Ohio,126,3.6559128072977156,3.929058273112193,0.2500000000000001
Oklahoma,93,1.8331148998530056,1.8667146832144097,0.43000000000000027
Oregon,104,0.9984367946867962,1.0114477165120221,0.4700000000000003
Pennsylvania,138,7.025960655053559,7.087979589761727,0.6300000000000004
Puerto Rico,71,0.5412049044025262,0.5398255892688013,0.23000000000000007
Rhode Island,110,0.6047341216820391,0.6237759628665439,0.39000000000000024
South Carolina,101,3.55730554191371,3.64482364057698,0.5000000000000003
South Dakota,72,0.1536461796778539,0.15216506311587025,0.28000000000000014
Tennessee,161,5.342801895371776,5.3725167463841785,0.6600000000000005
Texas,28,0.774802148200117,0.7763103253985305,0.6100000000000004
Utah,116,3.0165513836847895,2.90005970866824,0.3800000000000002
Vermont,62,0.36865516500471807,0.38221532128580865,0.5600000000000004
Virgin Islands,37,0.0582085827773562,0.058372098060031866,0.23000000000000007
Virginia,121,1.3073373304524072,1.2823741198285357,0.6100000000000004
Washington,113,2.424346945770603,2.259628862055897,0.3500000000000002
West Virginia,85,0.8240066203548956,0.8208855488483677,0.29000000000000015
Wisconsin,138,3.2624934968978576,3.3173694551402058,0.29000000000000015
Wyoming,103,0.4979686365036218,0.4996378186464493,0.21000000000000005
