state,tagged_day_zero,train_error,test_error,suggested_test_size,a,b,c
Alabama,150,6.054399078053327,1.6576988847262024,0.6100000000000004,10.384430108637288,38.37318637483887,10887.230720092844
Alaska,60,0.3489030912880518,0.3250081493638925,0.39000000000000024,6.488949918111809,17.25476802546662,365.4577029219461
American Samoa,-1,-1,-1,-1,-1,-1,-1
Arizona,186,0.7931288318167369,12.727167522381782,0.4500000000000003,13.01800537109855,47.93993030813058,15672.38249955065
Arkansas,125,7.870571211568632,8.801482358875793,0.4500000000000003,9.412434309996577,38.504495236190834,4398.433970303228
California,179,11.065359243191914,13.661004715075775,0.6900000000000005,10.264990476271128,60.769826133394695,74829.69713914803
Colorado,166,5.1590016375308725,3.5535531962465168,0.20000000000000004,11.064716616535712,44.56319266975793,23267.386712695974
Connecticut,122,1.6904985752221071,6.463819556854134,0.6700000000000005,7.574555708365897,35.67867979896278,33519.35312167864
Delaware,120,1.4188711178776692,1.048158049176124,0.5900000000000004,8.853732929649121,38.88303561238691,7077.696587405132
Diamond Princess,11,0.002368702207935348,0.00874415182811055,0.16,2.0569965838926687,-5.1949274881387835,49.01344789211171
District of Columbia,-41,8.715831233882135,35.81160456106066,0.6400000000000005,2.719890875122239,-66.37600603122414,2761.250000230255
Florida,156,8.701427831806532,13.420823957925522,0.30000000000000016,8.060587296710453,36.7809760167107,39299.01347014599
Georgia,147,4.34388688044438,13.267300657102124,0.23000000000000007,9.05401735407636,40.929647582576465,34567.255747315314
Grand Princess,24,0.3597293259125319,0.25651562253306187,0.22000000000000006,2.5485620359506322,10.731470054718057,104.49921203273725
Guam,-456028182,1.8853770171509199,1.5715840767093854,0.3700000000000002,-79960786.21629483,19777625.498197503,185.48184463884772
Hawaii,64,0.3181121408351376,0.086430285929313,0.2600000000000001,5.677610361803614,18.795183075586245,619.2146430478954
Idaho,71,0.8700543042700437,1.1648811676720807,0.27000000000000013,6.716305535311634,20.233828709093338,2071.9790999008105
Illinois,183,16.876600535686187,7.6689097262113455,0.24000000000000007,10.96897376357331,51.07667653843024,104593.61572300234
Indiana,181,10.311663821372322,11.695947753894808,0.2600000000000001,10.256041386167247,44.83932817047591,28339.044324720653
Iowa,138,0.9555136867902161,0.720104937997008,0.41000000000000025,8.634119113586104,53.12530320810559,17057.88485439791
Kansas,170,2.166695561003659,0.563833441007568,0.24000000000000007,11.516713460326743,56.27822247068974,14704.724979410728
Kentucky,136,2.336882730731585,2.040853892059939,0.3200000000000002,10.0080574814964,44.81614402851217,7740.787195492653
Louisiana,123,147.89762389158813,99.22946527544435,0.5300000000000004,-3.6018835745743587,164.10579765703432,14564.178571409586
Maine,113,0.8237323985306111,0.6625717336558232,0.31000000000000016,11.078745259160081,31.539040702691306,1476.8994886514083
Maryland,163,7.268410763363075,3.166211727548417,0.3600000000000002,9.657146944784126,46.00372263839001,38041.19776921004
Massachusetts,150,6.784066921338405,3.1815615615648083,0.4800000000000003,8.614532889868274,44.61382211528442,83598.38109859287
Michigan,136,11.33543839890941,13.655416688183202,0.5000000000000003,7.68976938982363,30.09044645657068,45875.04358394341
Minnesota,516,2.0835209944948208,1.237961784553557,0.4900000000000003,13.152877623486503,219.9661081811893,2329181139.3845434
Mississippi,1,6.016739650460329,63.626130157794684,0.6600000000000005,0.3186207539442252,-1.385890980819092,3762.2631533434737
Missouri,125,5.48834393372194,5.1599333256650235,0.31000000000000016,9.256969354030973,31.327564826383323,10176.392235430518
Montana,49,0.2995446895150603,0.3309880927128847,0.5200000000000004,5.212097462263489,16.238363538133743,453.8404779042789
Nebraska,147,0.2164281935165046,0.32042014395591484,0.5400000000000004,8.582382864346728,58.64521974535205,16219.521933861923
Nevada,119,3.5906524789888326,0.6184763768454039,0.15,9.502980791660322,34.80510815521209,6295.884360397613
New Hampshire,147,1.3462612842641666,0.9099521817194124,0.5400000000000004,11.716687831338401,42.524939901681996,3966.490652468915
New Jersey,143,22.59448581526841,32.544219287506564,0.27000000000000013,8.449095463604792,37.067040850420504,141567.45706946737
New Mexico,156,1.6414556194784615,2.222201232902125,0.24000000000000007,10.721221925269141,48.47594579484455,6666.288230818381
New York,142,43.83491923922119,31.547439161703647,0.30000000000000016,7.855929620086402,38.27248314289634,332082.6045846051
North Carolina,182,5.651023646223423,5.614658335046597,0.40000000000000024,11.768507916648284,46.977513424969615,19224.199219234237
North Dakota,-160,6.8103237308777995,5.68504077975129,0.24000000000000007,3.05092071477916,-183.24110286277036,501.2999980045418
Northern Mariana Islands,33,0.04212756295072896,0.051458757134331595,0.3600000000000002,9.18352639611975,-6.277756095606992,15.192999243464849
Ohio,142,3.242417628761537,7.754893001712086,0.3700000000000002,9.639993088150833,41.822254256745296,27379.793000736652
Oklahoma,114,1.3737675292300402,3.4009764335540735,0.6900000000000005,9.38425245057122,32.457874522471315,4649.73829469189
Oregon,136,2.6771095101351152,2.148139971168052,0.5600000000000004,11.705022835191766,40.520971213561644,3435.9537318300368
Pennsylvania,135,9.955597323533246,12.400666937043226,0.5200000000000004,8.58313650464668,40.208307267821056,62347.97271984794
Puerto Rico,219,1.7761122470770583,2.113561198960934,0.6800000000000005,13.12065798226699,41.317254454433765,3149.0040940203494
Rhode Island,121,1.0020198123893616,0.8425787088895369,0.20000000000000004,7.443975002041976,41.28104474735629,11956.233574268379
South Carolina,131,2.9387275470128076,9.15802178796542,0.3600000000000002,9.600030790560078,36.91337173274092,7672.406350267704
South Dakota,118,0.7643702683031742,0.5832363547691998,0.40000000000000024,7.055905054377143,36.06088056878684,3242.0291285312546
Tennessee,208,5.053305585825202,9.393204431767114,0.4400000000000003,13.412699196712007,47.879202814084636,21148.133049931468
