country,tagged_day_zero,train_error,test_error,suggested_test_size,a,b,c
Afghanistan,238,1.2391579004900148,0.7688239064424996,0.4400000000000003,14.412401613372891,83.54328428328895,38265.83524789667
Albania,2,12.80439075119146,35.24540125002928,0.5700000000000004,0.5725751276920116,-3.6307793636477523,5258.265957449911
Algeria,532,3.8294115171099232,3.0239748366547197,0.42000000000000026,31.482008447972873,140.8910424610278,59268.23113994587
Andorra,3590,1.0614183048270054,0.5960498615893615,0.5500000000000004,102.94657459822439,1427.76867397751,314479991.23551905
Angola,516,0.7099664779899129,0.7327783535028028,0.5300000000000004,32.34244601761902,189.05330541362298,15660.626780750868
Antigua and Barbuda,-2453197988,1.0599241967417932,1.1367256924891014,0.5200000000000004,-462563854.4007101,415321.11335726274,134.66595197782806
Argentina,623,8.64427808210336,4.077298449465298,0.2500000000000001,29.77103088861704,198.36148089231142,1432703.8945025606
Armenia,386,1.018740243905909,1.8867054061411241,0.6800000000000005,24.042824785539107,110.88444575764818,50189.536508772035
Australia,718,8.912670866747852,6.07994662493573,0.5600000000000004,49.449342620550226,163.52186804097985,37939.50296203244
Austria,3932,39.81102478399884,15.023429441932915,0.6200000000000004,107.02578544632526,1470.5576249763437,5464494799.561127
Azerbaijan,351,1.0461866836461975,0.8466978102654488,0.3800000000000002,20.681996056262463,114.17110725553754,40659.41655659847
Bahamas,376,0.6350387358040468,0.7350314841166269,0.42000000000000026,22.495155753465813,172.15758850814527,6768.78142977705
Bahrain,611,5.919013415494336,10.398379802454938,0.21000000000000005,37.32912727227414,162.69132994423424,84730.50892553445
Bangladesh,548,39.23007255193239,29.98694143326825,0.5600000000000004,26.29920960220782,118.95564970440907,377700.03060289525
Barbados,-6632436360,0.5674645528451748,0.8896887704070475,0.20000000000000004,-825385822.8805605,67008877.04073216,227.06775928678778
Belarus,329,13.331105140899268,13.807629475405493,0.5700000000000004,20.524318502074834,77.05598974292961,74718.34556391338
Belgium,3956,69.1872622175413,0.2737006069906106,0.20000000000000004,108.25196517773675,1399.2534793490759,7587519011.418578
Belize,258,0.9533893571687786,1.3252987139875265,0.6900000000000005,18.54750028767979,94.6298615136545,3111.443367553798
Benin,278,0.23901402987192572,0.26461547791559714,0.4400000000000003,20.247069481591673,93.04768906668691,2355.242001344248
Bhutan,-2222832321,1.8794197231314533,1.5781156237259926,0.6900000000000005,-251677797.0863442,6583220.572785639,268.03811200129974
Bolivia,402,3.0630654494973055,3.202841991566217,0.3800000000000002,22.45126903375412,128.14818066653098,142287.70011374058
Bosnia and Herzegovina,568,0.3442901932989298,1.8597424633358812,0.42000000000000026,33.24834247036355,168.82089857474543,38973.23417144975
Botswana,412,0.7990090190899508,0.8504770828858097,0.30000000000000016,28.39821535442735,154.90510215144124,5534.626295219449
Brazil,598,36.3485415723719,217.3057570015346,0.4400000000000003,28.724549152713866,146.60722874459216,5419342.801868513
Brunei,-81,0.3159282087478821,0.4012276281333984,0.21000000000000005,1.065618641440068,-87.65644128594016,137.32947967576007
Bulgaria,593,1.7563169683385225,0.4148274385904748,0.21000000000000005,38.151082122867436,166.5531029671736,30901.42852459666
Burkina Faso,3946,0.693529738797567,1.2687139847460833,0.6400000000000005,118.74942790015855,1543.0820578284552,166225354.2689833
Burma,312,0.7896091110697151,0.8076467225777686,0.6700000000000005,9.871975945184701,191.23600821203527,54876.25387792462
Burundi,182,0.08140592230490402,0.10905287029043743,0.3400000000000002,19.93322042462717,56.82310712347178,501.90626124395584
Cabo Verde,737,0.7974375425528739,0.5924740353523276,0.40000000000000024,41.488201775800974,168.60567034011794,12203.013598628433
Cambodia,880,0.19853210604993993,0.21910536020314858,0.3700000000000002,85.43885319371559,138.0702946618364,434.073297592842
Cameroon,339,0.8768460233610906,1.678922469236296,0.6100000000000004,22.907769444532033,92.42886891421409,20621.41903202637
Canada,540,57.72118531139305,77.22480988328223,0.4400000000000003,33.667724256035385,86.66571205235562,149873.20823725505
Central African Republic,172,0.17883079249546116,0.17337886566494504,0.4800000000000003,11.802025434374784,50.00419133060553,4758.153621325202
Chad,-2543,7.281359699534414,7.036043299689585,0.6500000000000005,131.61323616179072,-3785.3564476878546,773.0615384616744
Chile,465,13.704371429630667,15.589210443295118,0.5200000000000004,21.090090017922158,103.71472761664702,436530.015505486
China,84,0.39334278459995103,0.46022086877124757,0.2500000000000001,5.400509281052952,19.79757025176973,85917.573930143
Colombia,518,5.025370453072109,3.9066332989967587,0.3400000000000002,23.41825235173736,159.97433575862667,991614.2229612189
