country,tagged_day_zero,train_error,test_error,suggested_test_size,a,b,c
Afghanistan,234,1.0640411355647459,0.8403920280064081,0.16,12.915947317619477,82.10679251288897,37429.28795730751
Albania,-175,4.409789315143282,1.9614563130846498,0.19000000000000003,1.613763366890538,-185.5653741480417,434.6304348947213
Algeria,-65,19.20446533120702,33.56046777210032,0.5900000000000004,4.639444638768548,-109.70769190403846,1979.160001332085
Andorra,68,0.18880187040739851,0.3262460686433666,0.23000000000000007,6.363667209073226,15.435748598863901,748.1708287544951
Angola,802,0.05255655884327538,0.09562376627125764,0.18000000000000002,34.048309305029406,345.3125282498502,523471.78175641166
Antigua and Barbuda,53,0.01789781823385311,0.01743078164515771,0.3600000000000002,17.597743517264643,-26.371839469564996,26.27050603588468
Argentina,152,0.791149071639513,2.1985838909345894,0.5100000000000003,11.776376150201703,40.001833549525514,6452.462045815556
Armenia,299,1.3711688065693381,0.5383561473186552,0.22000000000000006,18.279454285157758,68.12532367337101,8913.028896006728
Australia,72,0.1912880652677421,0.1631049454886775,0.5400000000000004,4.656986928384683,28.76703405320151,6722.506648740077
Austria,85,1.4115755635750356,1.5435188442824865,0.2600000000000001,5.42857833381531,25.806881179155717,15186.272810729475
Azerbaijan,-73,8.798486680925448,13.21328802758212,0.5900000000000004,4.122738340310775,-106.85454248890979,1004.2727284919861
Bahamas,65,0.033975739018033864,0.06407561411760578,0.3800000000000002,10.798235480377537,15.218400992565156,102.9411314363495
Bahrain,249,0.3676617207845136,0.26090717167963534,0.27000000000000013,14.40724454291157,73.54098864964382,8341.04096994376
Bangladesh,-555,26.957472483701057,52.24044688890739,0.4800000000000003,27.789879299956596,-793.8940810202907,2750.519961774882
Barbados,-294284610,0.4731253255636886,0.5430205559472138,0.39000000000000024,-58807117.84129045,3340057.839114022,130.82407236865512
Belarus,131,1.2647336183599869,0.7933340983910743,0.3300000000000002,7.554011254938366,48.75730213408214,27831.5087038889
Belgium,129,3.917966933711516,1.5232562529184983,0.21000000000000005,8.19887156540153,38.00621236573324,52665.71672537235
Belize,-1,-1,-1,-1,-1,-1,-1
Benin,-175302485,0.6940526845136907,0.5378274870444996,0.22000000000000006,-32157413.094147522,13261742.849906879,96.27268471811342
Bhutan,-1,-1,-1,-1,-1,-1,-1
