country,tagged_day_zero,train_error,test_error,suggested_test_size,a,b,c
Afghanistan,414,8.597240418074989,8.276045801126326,0.43000000000000027,28.27782280061311,96.53905249244123,46496.615808226525
Albania,1048,1.1757363280423148,0.8454176160865231,0.2600000000000001,50.8163561098513,319.4838928911289,149581.08805462022
Algeria,1002,14.700319591399602,14.191360520221133,0.5800000000000004,64.1197772811402,233.20045561438417,133443.8159705803
Andorra,717,0.4515126488955849,0.44900485833711057,0.3800000000000002,45.70001122384034,255.64573519736115,12261.496352761402
Angola,-963,77.21984077749315,82.52831499347351,0.5900000000000004,60.22878264012951,-1520.1688721507376,7370.717734663344
Antigua and Barbuda,4453,0.29255193588927275,0.3196774779060878,0.5600000000000004,137.30777452528113,1856.0656874545712,21064889.127981693
Argentina,807,18.736668100039747,26.224560564399404,0.4400000000000003,39.19898009839712,223.6903430105862,1991801.6754372122
Armenia,974,4.483874290689821,11.615968626381074,0.20000000000000004,54.3012552437992,244.1447957082304,215314.31303204238
Australia,606,3.207528020146393,2.2413884998307454,0.6000000000000004,35.82833630470546,138.97127308856997,29178.062624326023
Austria,625,0.6915406007934025,0.6955829163688534,0.16,22.055172693107313,262.06290736089227,426692.02971221984
Azerbaijan,733,1.0443919731591993,0.5355373693928257,0.3300000000000002,36.170442212249824,269.8978731399999,300397.8250552677
Bahamas,462,0.5643657353438931,0.46725848857558294,0.16,24.13972851842536,180.53970308242464,8135.069170117631
Bahrain,723,12.623463374079595,8.58525020502568,0.6700000000000005,46.01827327753314,181.96821154929947,101030.78136068786
Bangladesh,1034,112.2932276292397,3.251012770879036,0.18000000000000002,44.51004842623805,151.83449251155744,525169.0012709775
Barbados,-380,1.8594775104755736,2.419232440779552,0.40000000000000024,19.668887114532197,-556.1288351977876,307.0412373369063
Belarus,4535,65.83962372896754,92.14862051016537,0.5800000000000004,119.77353483022019,1666.3152132615567,17819059286.700947
Belgium,555,0.6591082631326611,0.6482075896026301,0.15,23.421689056505564,239.14804078848852,714090.9656548434
Belize,483,0.9876252243600692,1.105843042603145,0.6100000000000004,28.982393310606295,166.7937584094001,13557.24162113851
Benin,696,2.3269885853411094,2.3678165774237305,0.4800000000000003,58.263670117042395,151.46885936742476,3922.337278740209
Bhutan,1098,0.3377010352159389,0.3604897794772745,0.6700000000000005,85.01158626799672,361.20946062963566,3568.6114435934364
Bolivia,707,30.498295360651245,12.09991881399518,0.5700000000000004,41.04175451234879,152.68331283579906,181508.24674503045
Bosnia and Herzegovina,710,0.8635244234918917,0.38264570939664655,0.39000000000000024,36.7992013650569,247.58485720339516,141518.48671550266
Botswana,848,3.303555932647339,2.5364336785496775,0.17,48.30655785729015,273.859641239961,38846.26609443349
Brazil,1409,928.3935071031805,15.320749429404666,10,60.50864665789732,219.08009326462795,10074032.028715193
